Date,TempMax,TempAvg,TempMin,WindMax,WindAvg,WindMin,Precipitation
2019-09-01,71,67.1,62,13,8.8,6,0
2019-09-02,77,69.5,62,14,7.6,3,0
2019-09-03,75,70.4,66,13,8.5,3,1.11
2019-09-04,86,73.7,65,25,12.1,6,0
2019-09-05,70,65.3,62,13,9.3,6,0.33
2019-09-06,68,64.8,60,20,11.5,0,0
2019-09-07,74,64.7,57,22,15.4,7,0.03
2019-09-08,78,68.7,62,14,9.9,5,0
2019-09-09,69,65.4,60,15,8.1,5,0
2019-09-10,72,67,64,15,6.6,0,0
2019-09-11,87,77,69,21,14.4,9,0
2019-09-12,76,64.6,59,18,11.1,5,0
2019-09-13,67,61,54,18,11,6,0.07
2019-09-14,72,64.5,53,21,11,6,0
2019-09-15,81,73.6,68,16,9.8,6,0.21
2019-09-16,74,68.3,63,15,9.7,6,0
2019-09-17,69,63.5,59,16,10.4,5,0
2019-09-18,64,59.3,54,17,12.4,6,0
2019-09-19,64,58.3,50,10,7.6,6,0
2019-09-20,78,67.6,53,9,6.2,0,0
2019-09-21,82,72.1,65,16,7.2,0,0
2019-09-22,88,75.3,63,16,10.5,5,0
2019-09-23,92,78.9,70,20,15.7,13,0
2019-09-24,78,71.8,65,16,11.8,7,0.14
2019-09-25,74,64.5,59,14,9.4,5,0
2019-09-26,84,67.9,59,21,10.9,5,0
2019-09-27,73,64.9,59,13,8.9,5,0.27
2019-09-28,80,69.8,60,21,12.3,6,0
2019-09-29,73,68.5,59,17,9.2,0,0
2019-09-30,61,57.7,52,13,10.1,8,0
